User Id,Gameplays,Deposits,Withdrawals,LoyaltyPoints
795,617,105.0,50.0,6595.0
796,90,24.0,13.0,994.0
797,415,5.0,8.0,4159.0
798,520,45.0,0.0,5425.0
799,1,1.0,0.0,15.0
800,68,0.0,0.0,680.0
801,3,6.0,2.0,56.0
802,894,17.0,1.0,9023.0
803,6,21.0,0.0,165.0
804,62,23.0,5.0,725.0
805,1289,5.0,4.0,12907.0
806,210,16.0,0.0,2180.0
807,20,15.0,2.0,271.0
808,9,1.0,0.0,95.0
809,185,5.0,2.0,1871.0
810,2,3.0,0.0,35.0
811,175,17.0,0.0,1835.0
812,48,6.0,1.0,508.0
813,206,11.0,0.0,2115.0
814,34,1.0,0.0,345.0
815,3,1.0,1.0,33.0
816,49,1.0,1.0,493.0
817,5,11.0,4.0,97.0
818,55,7.0,0.0,585.0
819,499,2.0,4.0,4992.0
820,7,3.0,0.0,85.0
821,11,17.0,1.0,193.0
822,130,6.0,3.0,1324.0
823,7,8.0,0.0,110.0
824,233,5.0,5.0,2345.0
825,89,18.0,6.0,968.0
826,1434,20.0,4.0,14432.0
827,10,2.0,4.0,102.0
828,3149,31.0,7.0,31631.0
829,49,27.0,25.0,575.0
830,61,11.0,0.0,665.0
831,344,106.0,0.0,3970.0
832,155,3.0,2.0,1561.0
833,13,6.0,0.0,160.0
